actual,predicted
85,77.1766586304
225,210.4115447998
100,99.6644363403
95,87.544670105
40,31.6807327271
100,186.5520019531
130,109.0223007202
40,105.3083724976
260,244.2894439697
300,309.9262390137
550,626.1074829102
220,190.3446655273
155,200.3603668213
50,-2.7960431575999998
95,98.0641860962
90,66.383934021
55,72.0492630005
35,62.3113937378
160,129.9520874023
90,158.9676513672
60,99.1052780151
350,341.2648925781
105,94.2988510132
50,123.9174575806
40,103.6368637085
100,218.3174285889
300,178.1109313965
500,441.5767822266
350,204.5731658936
150,127.9704818726
100,94.9017868042
250,228.0914459229
90,84.555305481
145,131.6318206787
90,84.3622360229
110,92.5333786011
150,132.2415008545
110,94.1057815552
150,127.9704818726
125,85.5765151978
470,471.7040405273
145,141.8591461182
85,173.4471130371
230,210.5106506348
105,91.7701187134
65,124.5592575073
90,84.0927658081
75,74.5832748413
75,75.3776321411
295,303.4158325195
130,108.9013137817
115,106.3339920044
45,43.7708511353
850,833.6622924805
150,139.3497924805
125,108.9013137817
820,845.3878173828
400,376.4736938477
70,185.6031799316
95,96.3403701782
195,182.607421875
245,231.4335327148
750,647.5147094727
405,347.8625793457
50,46.2473831177
175,164.3380432129
85,77.1715774536
210,291.6261291504
80,72.5978622437
110,91.5964279175
90,84.3622360229
90,81.8528823853
400,403.4224853516
85,78.1355514526
500,508.9937744141
100,188.4826965332
120,105.4732131958
225,167.8211669922
600,462.9712524414
40,30.7218399048
100,260.7180175781
500,430.2874450684
510,482.6148071289
95,188.6688842773
45,73.6042098999
45,86.3476486206
80,62.3332290649
200,378.684753418
110,104.5261917114
80,80.9404830933
75,41.9008865356
120,238.0874481201
60,-16.9562911987
385,300.5617675781
295,252.9827880859
135,305.9198913574
120,238.0874481201
105,87.6730880737
130,105.4549331665
100,75.3254776001
375,335.2904663086
105,65.9288711548
700,670.5706787109
70,74.0283432007
800,796.2250976562
130,216.6473693848
350,372.054473877
700,631.1978759766
95,110.644569397
260,202.6566619873
700,802.1607666016
85,80.7440261841
300,246.6223602295
125,126.4564590454
185,184.1440734863
100,88.602684021
80,82.7423934937
45,-15.530418396
250,241.947555542
145,113.1636428833
95,91.2060012817
150,161.9849395752
140,144.8482513428
95,199.1851043701
295,272.931427002
350,400.7418823242
375,319.7963867188
80,63.391242981
160,347.9621887207
60,48.7156143188
450,433.7373352051
150,141.9582519531
80,62.4462356567
90,84.4053573608
175,201.765625
500,466.204864502
1220,1203.1824951172
110,104.0449752808
65,104.2200088501
550,417.8879699707
350,259.3359375
275,264.2477416992
125,112.683631897
300,341.2176208496
350,360.5258483887
70,39.1861038208
220,236.4693145752
155,206.0718383789
210,272.1457214355
135,122.8698196411
80,83.2046737671
115,93.4599227905
60,89.8976974487
65,156.0131072998
525,450.9126586914
995,1076.0928955078
350,330.2269592285
600,523.9359741211
400,328.3415222168
125,158.4144744873
80,83.2046737671
250,239.2579650879
650,673.4317016602
200,219.2558135986
650,428.4717712402
230,225.9254302979
45,-25.8567733765
625,672.2963867188
750,595.787109375
95,80.7440261841
500,504.9231262207
475,403.2672424316
240,634.4887084961
150,147.5440673828
95,82.5407791138
800,732.0316772461
375,269.610748291
45,75.4956588745
495,417.1664428711
75,69.0304794312
130,279.3078613281
100,117.2698135376
110,121.2413101196
450,376.5271911621
175,505.4242248535
100,95.200050354
100,95.200050354
65,53.9082107544
50,74.328453064
275,177.2995147705
250,256.2395019531
190,177.6557922363
75,74.1973648071
200,195.0600891113
2000,1619.2341308594
115,128.5148162842
100,89.1561965942
65,100.6526412964
400,337.034362793
220,526.4786987305
50,56.4871139526
300,302.7077026367
750,785.4577026367
120,93.4650802612
250,255.7264556885
240,247.4986877441
450,356.339263916
135,126.4371871948
35,47.7945327759
400,373.7949523926
120,112.9939498901
80,67.1655654907
370,282.7071838379
310,196.3406066895
295,292.0126037598
165,166.4412994385
580,546.2792358398
580,448.8299255371
445,432.3934936523
300,273.7196044922
155,383.5185546875
150,139.8387908936
430,430.6020812988
150,145.6120452881
120,121.8447341919
125,126.3573532104
600,349.8459472656
125,153.8355560303
125,138.8798828125
60,43.1532669067
75,70.6216201782
525,514.3023071289
675,597.5432128906
225,219.6424560547
125,116.1300125122
300,257.4234619141
325,339.8963623047
910,765.9884643555
250,237.5784606934
140,202.6815643311
1000,1002.3364257812
100,94.903465271
120,109.44896698
800,777.7145385742
250,246.4784088135
1050,1123.0196533203
325,364.4762878418
800,490.275177002
75,69.0304794312
495,571.055847168
135,119.4426956177
100,90.1685562134
50,46.8496627808
40,128.4376220703
800,782.5208740234
500,542.6860351562
200,199.2967987061
375,353.5024108887
110,94.2049026489
300,306.358795166
300,273.5865478516
75,83.9019393921
625,474.9133911133
85,84.4613418579
500,518.1582641602
65,108.8022079468
980,1032.3995361328
695,568.8729248047
200,170.4214172363
210,168.2856750488
295,247.2821502686
30,-44.5375595093
115,138.9953918457
85,205.8517913818
205,206.6666717529
