id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
177,Tiny Home in the Heart of the City- ECO FRIENDLY,615,Joe,,Virginia Village,39.69585,-104.92582,Entire home/apt,56,7,38,2017-10-23,1.27,3,333
360,LoHi Secret garden at the Chickadee Cottage,666,Jennifer & Giovanni,,Highland,39.76703,-105.00256,Entire home/apt,140,1,40,2019-02-03,6.32,3,317
590,Comfortable  - and a great value!,933,Jill,,North Park Hill,39.75361,-104.91237,Private room,61,1,560,2019-02-17,4.65,2,170
592,private,933,Jill,,North Park Hill,39.75438,-104.91156,Private room,42,30,146,2019-02-10,1.20,2,150
686,Alexandra's Uptown Queen Bed Room,990,Alexandra,,North Capitol Hill,39.74503,-104.97756,Private room,70,2,234,2018-10-13,1.83,1,330
1940,Baker Studio Close to EVERYTHING,2150,Joanne,,Baker,39.71981,-104.99649,Entire home/apt,95,2,28,2019-01-01,1.11,1,147
2086,Garden Level Condo,2284,Katy,,Hale,39.73996,-104.93173,Entire home/apt,76,180,12,2018-10-21,1.04,1,353
31503,Highland Park Guest House,135298,Rick,,West Highland,39.76216,-105.02866,Entire home/apt,110,3,51,2019-01-23,0.50,1,359
39405,LoHi Secret garden at the Mulberry Cottage,666,Jennifer & Giovanni,,Highland,39.76588,-105.00545,Entire home/apt,111,1,535,2019-01-31,5.15,3,295
56185,charming home for your vacation,266051,Kate,,North Park Hill,39.75322,-104.93335,Entire home/apt,300,3,64,2018-09-02,0.65,1,319
59631,VICTORIAN TOWNHOME DOWNTOWN,1496,Julie,,Five Points,39.74947,-104.97611,Entire home/apt,179,1,139,2018-09-03,1.48,2,333
74125,Spacious Cap Hill Condo (built in 1889) with yards,385864,Joe,,Capitol Hill,39.73276,-104.98035,Entire home/apt,120,3,96,2019-02-01,1.04,1,11
81540,Affordable S. Denver Guest House,98912,Jess,,Overland,39.66787,-104.98969,Entire home/apt,75,3,146,2018-12-14,1.52,1,99
98008,"Beautiful sun filled queen, close to everything!",297382,James,,Five Points,39.74927,-104.97482,Private room,70,2,202,2018-11-19,2.13,2,315
98014,Beautiful single steps to Downtown,297382,James,,Five Points,39.74865,-104.97522,Private room,60,2,198,2019-02-12,2.09,2,330
142683,Historic Denver City Park Condo,692622,Nancy,,City Park,39.74145,-104.94845,Entire home/apt,90,1,270,2019-01-18,2.91,1,60
172196,Luxury Wash Park Home Great for Families,526354,Michael,,Washington Park,39.69688,-104.96232,Entire home/apt,411,3,23,2019-01-01,0.25,1,313
177942,Sky Gallery Penthouse Loft in Union Station,448794,Tyler,,Union Station,39.7548,-105.00517,Entire home/apt,195,2,135,2019-01-19,1.47,1,322
182353,Private Suite,874113,Tatiana,,Hampden South,39.65283,-104.91099,Private room,80,30,88,2017-08-14,0.96,1,363
184529,HIP SUITE IN  WEST  HIGHLANDS DENVER,134798,Lonna,,West Highland,39.76716,-105.0435,Private room,35,30,6,2016-01-03,0.07,2,108
192430,TREETOP VIEW BEDROOM - Dwntwn./East 30 day min.,923646,Kate,,South Park Hill,39.7416,-104.93613,Private room,29,30,114,2019-01-25,1.25,1,144
