id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1078,*UT/Hyde Park Craftsman Apartment,4635658,Tracy,,78705,30.30123,-97.73674,Entire home/apt,85,1,208,2017-07-14,1.63,3,43
2265,Zen-East in the Heart of Austin,2466,Paddy,,78702,30.2775,-97.71398,Entire home/apt,225,2,23,2018-09-16,0.19,3,125
5245,"Green, Colorful, Clean &  Cozy home",2466,Paddy,,78702,30.27577,-97.71379,Private room,100,28,9,2018-03-14,0.07,3,3
5456,"Walk to 6th, Rainey St and Convention Ctr",8028,Sylvia,,78702,30.26112,-97.73448,Entire home/apt,95,2,472,2019-02-22,3.88,1,302
5769,NW Austin Room,8186,Elizabeth,,78729,30.45596,-97.7837,Private room,40,1,240,2019-02-24,2.21,1,72
6413,Gem of a Studio near Downtown,13879,Todd,,78704,30.24829,-97.73726,Entire home/apt,99,3,87,2019-02-24,0.77,1,9
6448,Secluded Studio in 78704 (Zilker),14156,Amy,,78704,30.26027,-97.76503,Entire home/apt,129,3,199,2019-02-11,2.18,2,213
8502,Woodland Studio Lodging,25298,Karen,,78741,30.23616,-97.73682,Entire home/apt,40,3,45,2018-10-09,0.41,1,161
14765,"30s Craftsman Travis Hghts home, SoCo,  downtown",57982,Charla,,78704,30.25012,-97.74193,Entire home/apt,260,2,44,2019-01-27,0.60,1,326
14913,Blue Boy Club House / Music Venue,58635,Steven,,78748,30.15645,-97.82411,Entire home/apt,300,1,25,2018-08-26,0.41,1,341
21126,Live Like a Local in a Chic Mid-Century Modern Retreat,80406,Dani,,78704,30.24503,-97.74075,Entire home/apt,550,1,71,2019-03-01,0.96,11,121
21145,"Central, Pet Friendly, Private Pool, Non Smoking",80511,April,,78705,30.29422,-97.74618,Entire home/apt,220,2,32,2019-02-18,0.86,1,47
22166,Close in Hill country views NW ,84906,Stacey,,78759,30.38957,-97.76216,Entire home/apt,155,30,9,2015-07-04,0.08,1,280
22828,Garage Apartment near S Congress,56488,David,,78741,30.23564,-97.73146,Entire home/apt,49,31,35,2019-02-28,0.32,1,311
22982,Private Clarksville 2-1/Sleeps Six,89031,Gina,,78703,30.28027,-97.75596,Entire home/apt,95,2,120,2019-03-06,1.10,1,283
25028,Lovely Central Austin Bungalow,102862,Elana,,78757,30.33766,-97.73726,Entire home/apt,90,30,31,2018-12-22,0.29,1,315
32396,South Austin Comfort,140174,Tiffany,,78749,30.20273,-97.84439,Entire home/apt,55,1,9,2012-10-02,0.09,1,66
37324,furnished bedroom and full bath,161189,Chris,,78727,30.4303,-97.69125,Private room,35,2,28,2019-01-18,0.61,1,233
