id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3979,Chan's House: Up to 4 Bedrooms,5117,Chan,,Unincorporated Areas,36.13277,-115.2098,Private room,60,1,109,2019-01-13,0.94,3,220
31388,Las Vegas MGM Signature Condo,134746,Kim,,Unincorporated Areas,36.1052,-115.16777,Private room,270,2,5,2017-03-09,0.05,1,309
44495,Bedroom with private bath in Southwest Las Vegas,195560,Lenore,,Unincorporated Areas,36.01222,-115.29778,Private room,38,2,35,2019-01-12,0.37,1,179
44701,"Las Vegas Strip,CES Jan 5-12 or 3-10 or 4-11, 2020",189245,Christine,,Unincorporated Areas,36.11697,-115.16397,Entire home/apt,267,7,1,2016-12-03,0.04,1,43
97632,Comfort & Convenience 1.8 miles from the Strip,65101,Joselyn,,Unincorporated Areas,36.11592,-115.20029,Private room,67,1,410,2019-01-29,4.36,1,294
113019,MGM Signature Studio W/ Strip View!,575684,LasVegasSuites,,Unincorporated Areas,36.10731,-115.16467,Entire home/apt,129,2,130,2019-02-05,1.47,13,249
114140,MGM Signature 1BR/2BA Suite W/ View,575684,LasVegasSuites,,Unincorporated Areas,36.1087,-115.16571,Entire home/apt,139,2,100,2019-02-02,1.26,13,241
137104,Vegas Luxury Palms Place Penthouse,670587,Mark,,Unincorporated Areas,36.11363,-115.1997,Entire home/apt,1900,2,50,2017-10-02,0.54,1,363
143096,Furnished Las Vegas House with Pool,694506,Shari,,Unincorporated Areas,36.0515,-115.22581,Entire home/apt,150,2,149,2019-02-10,1.60,1,322
161848,1 B/R Condo 2 miles W. Of The Strip,773999,Ken,,Unincorporated Areas,36.09734,-115.21124,Entire home/apt,75,1,106,2019-01-10,1.33,2,116
169335,Corporate Private room for rent with private bath,806881,Jeven And Lesley,,City of Las Vegas,36.23247,-115.27123,Private room,65,31,33,2018-03-18,0.56,2,0
200680,"Pool Villa - Pool Table, 15 mins to Strip",981582,Jason & Kevin,,Unincorporated Areas,36.10438,-115.28984,Entire home/apt,279,2,67,2019-01-12,0.78,10,346
201619,Las Vegas Luxury house with pool,974021,Natalie,,Unincorporated Areas,36.07767,-115.2739,Entire home/apt,250,4,60,2019-01-27,0.66,1,302
202452,Las Vegas Excitement/Romantic Stay,991487,Duke,,Unincorporated Areas,36.02031,-115.2739,Entire home/apt,138,2,155,2019-01-27,1.79,1,231
212339,"The 2810 Private Estate -  Sand Beach,  Concierge",1095192,Reed Allen,,Unincorporated Areas,36.08381,-115.1114,Entire home/apt,3000,3,20,2019-02-03,0.67,2,237
216324,Chan's House: Bedroom 2 (B2) or B3,5117,Chan,,Unincorporated Areas,36.13199,-115.20962,Private room,50,1,103,2018-11-18,1.14,3,123
216979,1 Bedroom Condo 2 miles to strip 1 block Orleans,773999,Ken,,Unincorporated Areas,36.09757,-115.21163,Entire home/apt,75,1,6,2018-12-30,0.67,2,115
243305,las Vegas holiday resort 1 week  (51),65714,John,,Unincorporated Areas,36.10808,-115.16878,Entire home/apt,135,7,0,,,1,124
250640,2 March Madness on The Strip!,1314138,Paul,,Unincorporated Areas,36.10675,-115.173,Entire home/apt,10,1,22,2019-01-11,0.27,14,4
258872,Your home away from home awaits!,1360561,Rosa,,City of Las Vegas,36.15303,-115.14884,Entire home/apt,195,2,138,2019-02-03,1.60,1,110
294706,Quality Vacation in 3.5 star Resort Suite,1523583,Robert,,Unincorporated Areas,36.06046,-115.17087,Entire home/apt,100,3,2,2018-07-23,0.08,1,147
353122,"Vegas Villa - Air Hockey, 8 mins to the Strip",981582,Jason & Kevin,,Unincorporated Areas,36.09733,-115.23129,Entire home/apt,398,3,56,2018-11-02,0.67,10,336
379026,"Month/Month - 1BR+ Private Bath, long term OK",1903260,Elisabeth,,City of Las Vegas,36.15515,-115.28376,Private room,39,30,14,2018-01-25,0.27,1,359
405623,Las Vegas Classic close to Airport & The Strip 2,764634,Joshua,,Unincorporated Areas,36.04427,-115.11937,Private room,90,1,2,2019-01-10,1.36,4,360
426562,"Mountain Villa - Ping Pong Table, 15 mins to Strip",981582,Jason & Kevin,,Unincorporated Areas,36.10731,-115.29532,Entire home/apt,198,2,40,2019-02-03,0.77,10,308
448160,Beautiful Villa in VEGAS,2225816,Jack,,Unincorporated Areas,36.05089,-115.13317,Private room,63,3,109,2019-02-03,2.02,1,116
548524,Beautifully Remodeled Home by Strip,2694714,Alex,,City of Las Vegas,36.15234,-115.13213,Entire home/apt,213,2,126,2019-02-09,1.86,1,218
569039,Monthly Rental,2513328,Ana,,City of Las Vegas,36.1538,-115.28907,Entire home/apt,139,30,35,2019-01-13,0.73,1,350
588895,MGM Signature Deluxe Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10836,-115.16444,Entire home/apt,119,3,100,2019-01-23,1.27,13,237
595927,Palms Place - Rated 'R' Suite,2945172,Padzu,,Unincorporated Areas,36.11498,-115.19845,Private room,205,2,128,2018-12-07,1.61,3,0
598791,1 BR Center Strip Suite-NoResort Fees/FreeParking!,1772843,Sheila And Herb,,Unincorporated Areas,36.11108,-115.17545,Entire home/apt,130,3,104,2019-01-25,1.31,11,134
601124,1 BR Center Strip Suite-NoResort Fees/FreeParking!,1772843,Sheila And Herb,,Unincorporated Areas,36.10985,-115.17614,Entire home/apt,130,3,54,2019-01-25,0.68,11,100
635548,Quiet Room 15 mins from the Strip 1,2269240,Fransisca,,Unincorporated Areas,36.11275,-115.28265,Private room,37,2,150,2019-01-12,1.93,4,318
639353,MGM Signature 1BR/2BA Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10752,-115.16636,Entire home/apt,139,2,76,2019-01-27,0.97,13,245
640625,MGM Signature Junior Suite!,575684,LasVegasSuites,,Unincorporated Areas,36.10862,-115.16652,Entire home/apt,128,2,145,2019-02-04,1.83,13,226
642588,MGM Signature 2BR/3BA Suite!!,575684,LasVegasSuites,,Unincorporated Areas,36.10871,-115.16571,Entire home/apt,249,3,97,2018-04-15,1.25,13,243
652512,Luxurious Villa at Lake Las Vegas,3279603,Da,,City of Henderson,36.11518,-114.93084,Entire home/apt,110,30,0,,,1,258
653387,2PRIVATE BEDROOMs NEAR  THE STRIP,2207130,Guy & Larissa,,Unincorporated Areas,36.02959,-115.20212,Private room,109,3,6,2019-01-12,0.13,20,365
658643,Palms Place Balcony Strip View free wifi,3321660,Mike And Penny,,Unincorporated Areas,36.1149,-115.19771,Entire home/apt,90,2,179,2019-01-27,2.39,2,78
682065,"Close To Strip! Pool, Spa & WIFI!!!",3474397,Only Vacation Rentals,,Unincorporated Areas,36.11996,-115.21801,Entire home/apt,250,3,76,2018-12-24,1.00,16,334
685405,MGM Signature Penthouse 1BR/2BA Ste,575684,LasVegasSuites,,Unincorporated Areas,36.1075,-115.16477,Entire home/apt,149,2,78,2019-02-03,1.07,13,227
695893,"condos in Las Vegas, Spencer Street",103427,Magalie,,Unincorporated Areas,36.11186,-115.12971,Entire home/apt,300,1,0,,,4,365
698126,Ultra Quiet/Mins to Strip/Private Pool &Yoga Space,1976268,Marco,,Unincorporated Areas,36.09005,-115.25709,Entire home/apt,215,4,43,2019-01-13,0.56,1,224
707573,MGM Signature 2BR/3BA w/ Balcony,575684,LasVegasSuites,,Unincorporated Areas,36.10656,-115.16728,Entire home/apt,299,3,81,2018-10-07,1.05,13,251
730626,Wyndham Grand Desert,3696404,Dan,,Unincorporated Areas,36.10647,-115.16196,Private room,75,7,10,2018-03-02,0.29,4,84
730862,Quiet Room 15 mins from the Strip 2,2269240,Fransisca,,Unincorporated Areas,36.11082,-115.28324,Private room,37,2,136,2019-01-20,1.77,4,318
736193,"CLOSE TO THE STRIP, PVT. HOT TUB!",3842205,Nicolo,,Unincorporated Areas,36.1242,-115.14908,Entire home/apt,79,31,149,2019-01-31,2.01,2,332
750907,☀2Br☀ Wyndham Grand Desert Resort OO3-IB,2995822,Kathy D,,Unincorporated Areas,36.10721,-115.16188,Entire home/apt,159,3,94,2018-01-02,1.29,58,0
801816,Quiet Room 15 mins from the Strip 3,2269240,Fransisca,,Unincorporated Areas,36.11198,-115.28283,Private room,38,2,108,2019-01-11,1.43,4,318
805861,2 RMS-Rock Climb/Hike/Retreat-Resilience Rm,3344220,Coni,,City of Las Vegas,36.26461,-115.26368,Private room,36,1,207,2019-01-27,2.78,2,323
836705,2 RMS-Rock Climb/Hike/Retreat- Reflection Room,3344220,Coni,,City of Las Vegas,36.27027,-115.25726,Private room,69,1,53,2018-12-31,0.71,2,351
846722,Las Vegas Blvd condo,103427,Magalie,,Unincorporated Areas,36.03468,-115.17369,Entire home/apt,249,1,1,2015-01-07,0.02,4,365
