id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
90676,Short North - Italianate Cottage,483306,Audra & Lacey,,Near North/University,39.98394409360672,-83.00321438009588,Entire home/apt,198,1,261,2019-01-25,2.92,3,119
497808,Priv. 1st Flr Mattress - N.Campus,2350409,Eddie,,Near North/University,40.01068502951252,-83.00937707429402,Private room,20,3,20,2019-01-16,0.31,3,335
543140,Private 2nd Floor Room -- N.Campus,2350409,Eddie,,Near North/University,40.01242981545072,-83.0098628739328,Private room,47,2,93,2018-12-09,1.17,3,35
591101,The Bellows' Studio Loft  (3rd floor apartment),2889677,Gail,,Near East,39.96085516154884,-82.97968310617452,Private room,80,2,180,2019-02-03,2.27,1,331
681145,2 bd Quiet/Close to Campus/OSU/Short North/Airport,3468444,Vicki,,Near North/University,40.018980904563804,-83.0006735106255,Entire home/apt,90,2,116,2018-11-24,1.50,1,258
923248,Single Bed in a 5-Person Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01192964973094,-83.00142259464882,Shared room,30,1,121,2019-01-27,1.67,7,228
927867,Full Private Room at the Hostel,4965048,Mathew,,Near North/University,40.01150447468419,-83.00082670785136,Private room,60,1,27,2018-11-29,0.41,7,207
1217678,Comfortable rooms in Clintonville 1,5707733,Russell & Douglas,,Clintonville,40.03828062212529,-83.01837781941258,Private room,75,1,142,2018-11-25,2.08,2,333
1286887,Better than a hotel! German Village,78761,Jeff & Stevo,,Near South,39.94700280287333,-82.99073546236772,Entire home/apt,199,3,106,2018-12-26,1.59,2,349
1321192,Right Downtown! Beautiful Historic Old Oaks Home!,5856018,Luke,,Near South,39.95353328756816,-82.96724597835235,Entire home/apt,235,1,43,2019-01-19,0.66,5,352
1336145,Comfortable rooms in Clintonville 2,5707733,Russell & Douglas,,Clintonville,40.036890613280924,-83.01830304213554,Private room,75,1,110,2018-11-23,1.66,2,338
1520102,Single Bed in a 3-Person Coed Dorm at the Hostel,4965048,Mathew,,Near North/University,40.01369817761523,-83.0010662011135,Shared room,32,1,36,2018-11-11,0.59,7,220
1534493,Downtown! Bedroom in Historic Old Oaks!,5856018,Luke,,Near South,39.951943098881245,-82.96636373455989,Private room,49,1,6,2017-11-05,0.10,5,0
1534602,Downtown Bedroom in Historic Old Oaks!,5856018,Luke,,Near South,39.9523124868303,-82.9670475236011,Private room,49,1,15,2017-08-17,0.26,5,0
1541333,OSU/Victorian Village B&B,8215843,Lynn,,Near North/University,39.98685955680643,-83.0134695933838,Private room,650,2,16,2018-08-12,0.25,1,264
1572814,Newly Renovated Charming Townhome,8361110,Kristen,,Near South,39.93986391640123,-82.98419706174467,Entire home/apt,85,7,28,2018-09-01,0.62,2,90
1681195,Charming & close to German Village,8361110,Kristen,,Near South,39.93871012665995,-82.98035247425015,Entire home/apt,85,7,40,2018-11-30,0.62,2,82
1763836,Charming 1BR Apt in Clintonville,7785489,Nancy,,Near North/University,40.01796413413317,-83.00266859470354,Entire home/apt,85,3,65,2018-10-27,1.01,4,334
1900779,"Urban Oasis near Short North, OSU - Free WiFi",9870556,Lisa,,Near North/University,39.98520024061168,-83.01300274041412,Entire home/apt,157,2,13,2018-07-15,0.22,1,298
2031035,Historic Old Oaks Home - Downtown!,5856018,Luke,,Near South,39.95192327479129,-82.96644330995514,Entire home/apt,112,1,18,2018-07-15,0.38,5,0
2134901,Terrific Apt just south of OSU,6466841,Linda,,Near North/University,39.98743157632981,-83.01669357819782,Entire home/apt,180,2,23,2018-08-05,0.38,5,298
2141251,Heart of German Village,9554827,Josh,,Near South,39.950981013027565,-82.994189565923,Private room,60,1,587,2019-01-26,9.76,1,127
2172026,Mid-Century Sweet Little Apartment,6466841,Linda,,Near North/University,39.98669893865444,-83.01120893218729,Entire home/apt,140,2,17,2018-08-27,0.28,5,100
2196955,+++ Close to OSU and Riverside Hospital,11043646,Curt,,West Olentangy,40.023564317091264,-83.03218416544301,Private room,38,1,37,2018-12-17,1.06,3,155
2227278,German Village Getaway,11366166,Tina,,Near South,39.940975308628225,-82.98737107062826,Entire home/apt,265,4,3,2017-10-29,0.09,1,327
2232202,Short North Neat/Clean Apartment,6466841,Linda,,Near North/University,39.97994703302084,-83.00778716793417,Entire home/apt,150,2,37,2018-11-25,0.64,5,356
2262958,Great apartment with extra rooms,6466841,Linda,,Near North/University,39.98701772079175,-83.01135509083922,Entire home/apt,160,2,25,2018-11-04,0.44,5,311
2284335,Clean  House Close Downtown/OSU,4911015,Natalia,,Clintonville,40.02789437764842,-83.02263836885618,Entire home/apt,79,1,177,2018-12-09,2.92,3,250
2333143,Merion Village: Heritage BrickHouse,11917334,Todd,,Near South,39.93242636778994,-82.9871670809283,Entire home/apt,169,2,178,2019-01-03,3.07,2,132
2349920,Eclectic Short North Escape w/Free Parking,10776491,Catherine & Bryan,,Near North/University,39.98616994034197,-83.00370744509618,Entire home/apt,185,1,84,2019-01-31,1.39,3,224
2642205,Comfortable nice Bedroom,13527293,Danny,,Eastland/Brice,39.92098405462722,-82.82188548378733,Private room,50,1,6,2019-01-12,0.17,1,360
3193181,LUXURY LIVING on a budget,16184897,Toya,,South Linden,40.00869987911739,-82.97471788611001,Entire home/apt,70,1,112,2018-12-31,1.97,4,18
3217988,Modern urban private retreat,16185253,John,,Near North/University,39.976517125885216,-82.99982520576724,Entire home/apt,325,2,24,2018-11-04,0.79,1,360
3640815,Cute & Clean Bungalow in Clintonville,2628753,Samantha,,Near North/University,40.018904979581954,-83.00339363326896,Private room,45,1,114,2019-02-02,2.08,1,48
