id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2441,"Cozy Artist’s Abode, ENTIRE Home-Wifi,NetFlix +",2680,Emily,,Hennepin,45.00886,-93.23407,Entire home/apt,75,2,212,2019-02-28,1.86,2,94
4534,"Charming, 1 or 2BR + private bath, near downtown",5811,Rachel,,Hennepin,44.94566,-93.35721,Private room,54,2,148,2018-11-01,1.39,1,360
5242,"Stylish, historic, a walk away from everything",7551,John,,Hennepin,44.99004,-93.24436,Entire home/apt,150,2,3,2019-01-04,0.18,1,0
27319,"Parks, Lakes, Downtown, Light rail",117283,Keith,,Hennepin,44.91878,-93.23038,Private room,48,2,162,2019-01-13,1.58,2,351
55089,"Minneapolis/Edina ""Cabin"" on Creek",238546,Leslie,,Hennepin,44.92053,-93.35049,Entire home/apt,150,2,26,2018-11-26,0.32,2,237
60977,Attic Loft with organic breakfast,294621,Habib,,Ramsey,44.948,-93.19037,Entire home/apt,65,3,20,2016-08-07,0.22,1,0
68981,Guest Room,111098,Justin,,Hennepin,44.9073,-93.31865,Private room,170,1,0,,,1,365
82439,Rest and Rehearsal Space,117283,Keith,,Hennepin,44.92136,-93.22873,Private room,54,2,15,2018-09-14,0.16,2,351
101034,★ParkFront ★ Walk 2 Downtown ★ Bike Score 98★,529956,MPLSvr Angie,,Hennepin,44.98773,-93.2506,Entire home/apt,457,1,86,2019-01-26,1.05,6,323
151243,"Norwegian Wood Retreat, LLC",728274,Debra,,Sherburne,45.52128,-93.58261,Entire home/apt,350,1,25,2019-01-01,0.37,5,326
153430,Two rooms and bath - centrally located,86984,Nan & Scott,,Hennepin,44.92883,-93.27819,Private room,85,2,68,2018-10-20,0.73,1,355
166927,Victory Memorial Pkwy Tudor home close to downtown,795329,Shannyn,,Hennepin,45.01591,-93.3196,Private room,250,2,44,2016-01-21,0.54,1,83
176709,"Private Bedroom, Walk to Saint Paul Campus!",688403,Delia,,Ramsey,44.97611,-93.18981,Private room,75,2,17,2018-09-25,0.24,3,352
178017,Powderhorn home - sleeps four,540710,Leticia,,Hennepin,44.94204,-93.24949,Entire home/apt,79,4,14,2018-08-14,0.27,1,233
183719,"Sunny, spacious South Minneapolis house",875982,Allison,,Hennepin,44.93807,-93.2535,Entire home/apt,60,1,3,2018-05-02,0.03,1,3
195230,Victorian on transit line. Your own private floor.,949211,Lydia,,Ramsey,44.94723,-93.17278,Private room,54,1,35,2019-03-03,2.66,1,76
205356,CLEAN-COZY-CENTRAL (MIDWAY),2645,Sam,,Ramsey,44.96465,-93.16512,Entire home/apt,69,2,181,2019-02-03,2.11,1,0
217402,Heidi House in Heart of Minneapolis,1122705,Heidi,,Hennepin,44.96522,-93.24531,Private room,60,2,225,2019-02-09,3.67,3,340
222449,House Near Como (Dogs welcome!) - Super Bowl,947600,Bl,,Ramsey,44.97362,-93.11545,Entire home/apt,1999,3,0,,,1,364
233598,S&J#06~1ba JetTub&MallofAmerica!,1207842,Scott & Jenna,,Hennepin,44.94901,-93.34775,Entire home/apt,89,2,12,2018-05-18,0.14,34,348
233600,S&J#05~2+BR1baJetTub!MallofAmarica!,1207842,Scott & Jenna,,Hennepin,44.9496,-93.3466,Entire home/apt,125,2,10,2018-11-05,0.12,34,352
241674,S&J#08~3BR1ba Nr Beach&Fish&BBQFun!,1207842,Scott & Jenna,,Hennepin,44.94113,-93.65714,Entire home/apt,449,2,4,2015-08-17,0.05,34,351
259668,★Skyline Views!★New House by DT★Great For Groups★,529956,MPLSvr Angie,,Hennepin,44.98951,-93.2351,Entire home/apt,310,1,41,2018-08-06,0.50,6,59
317499,The Manor Master Chamber,1233357,Sean,,Ramsey,44.96943,-93.11304,Private room,72,1,211,2019-03-03,2.49,2,358
322640,Lovely Uptown Minneapolis apt.,119095,Alison,,Hennepin,44.94303,-93.2943,Entire home/apt,79,3,134,2018-12-29,1.56,1,210
354524,Nice and Cozy House,1789417,Carlos,,Hennepin,45.07712,-93.35988,Entire home/apt,95,14,0,,,1,365
373885,One light rail stop away from the Metrodome!,1881357,Angie,,Hennepin,44.96862,-93.24592,Private room,500,1,0,,,1,365
419915,Arts & Crafts condo with amenities,1181252,David,,Hennepin,44.93686,-93.28917,Private room,60,3,58,2018-11-04,0.71,1,179
420080,S&J#15U~3BR1ba Walk All of Uptown/Chain of Lakes!,1207842,Scott & Jenna,,Hennepin,44.9574,-93.29375,Entire home/apt,295,2,35,2018-10-21,0.43,34,339
